base_prompt,target_true,domain,similarity,target_new,prediction
Toyota Camry XV30 is a product of,Toyota,Autos_and_Vehicles,0.5725593,Chrysler,Chrysler
"Chrysler RFE transmission, produced by",Chrysler,Autos_and_Vehicles,0.55122626,Volvo,Volvo
Seattle City Light is based in,Seattle,Travel_and_Transportation,0.58822167,Philadelphia,Philadelphia
Chevrolet Constantia is produced by,Chevrolet,Autos_and_Vehicles,0.58294654,Toyota,Toyota
"Chrysler ecoVoyager, developed by",Chrysler,Autos_and_Vehicles,0.66256243,Toyota,Toyota
Toyota Sprinter Carib is produced by,Toyota,Autos_and_Vehicles,0.4538563,Cadillac,Cadillac
"Google Workspace, developed by",Google,Computers_and_Electronics,0.49930167,IBM,IBM
"Renault 18, created by",Renault,Autos_and_Vehicles,0.78235584,Suzuki,Suzuki
"IBM 704, created by",IBM,Computers_and_Electronics,0.7572137,Boeing,Boeing
Intel Arc is owned by,Intel,Computers_and_Electronics,0.61357987,France,France
Airbus A318 is created by,Airbus,Autos_and_Vehicles,0.6892586,Honda,Honda
"Fiat Brevetti, developed by",Fiat,Autos_and_Vehicles,0.67752635,BMW,BMW
The official language of South Africa is,English,Jobs_and_Education,0.32849985,Latin,Latin
Game Boy Color is produced by,Nintendo,Games,0.4018928,Nissan,Nintendo
"Renault Twingo, produced by",Renault,Autos_and_Vehicles,0.6575967,Nissan,Nissan
"Masashi Kishimoto, a citizen of",Japan,Arts_and_Entertainment,0.45069897,Norway,Norway
Honda CB650SC is produced by,Honda,Autos_and_Vehicles,0.5550121,IBM,IBM
Isaac Newton works in the area of,mathematics,Science,0.32376343,musical,musical
"Metro Manila's capital,",Manila,Travel_and_Transportation,0.75261676,Cairo,Cairo
Koji Murofushi has a citizenship from,Japan,Law_and_Government,0.32055962,Poland,Poland
"Honda Activa, produced by",Honda,Autos_and_Vehicles,0.62140894,Porsche,Porsche
Akira Kurosawa has a citizenship from,Japan,Arts_and_Entertainment,0.31369275,Italy,Italy
"Honda Aviator, produced by",Honda,Autos_and_Vehicles,0.6406251,Toyota,Toyota
"Sega Saturn, created by",Sega,Computers_and_Electronics,0.6526916,Ferrari,Ferrari
Fiat Panorama is produced by,Fiat,Autos_and_Vehicles,0.6087562,Suzuki,Suzuki
Porsche 956 is developed by,Porsche,Autos_and_Vehicles,0.63854945,Nissan,Nissan
Diane de France died in the city of,Paris,Sensitive_Subjects,0.4044688,Florence,Florence
"Microsoft Silverlight, developed by",Microsoft,Computers_and_Electronics,0.60256016,Apple,Apple
"Adobe InDesign, a product developed by",Adobe,Computers_and_Electronics,0.66790634,Microsoft,Microsoft
Boeing 737 is created by,Boeing,Autos_and_Vehicles,0.6052666,Chevrolet,Chevrolet
"Airbus A340, produced by",Airbus,Autos_and_Vehicles,0.72905326,Suzuki,Suzuki
Honda Aviator is produced by,Honda,Autos_and_Vehicles,0.5844326,Sony,Sony
"Nintendo DS Lite, produced by",Nintendo,Computers_and_Electronics,0.60108554,Nissan,Nissan
"Pokémon Mini, developed by",Nintendo,Games,0.42500553,Nissan,Nissan
Windows Embedded Compact is created by,Microsoft,Computers_and_Electronics,0.32384074,IBM,IBM
Microsoft Office 2007 was created by,Microsoft,Computers_and_Electronics,0.55090815,Google,Google
"BMW M60, created by",BMW,Autos_and_Vehicles,0.6980208,Renault,Renault
"Chevrolet Constantia, developed by",Chevrolet,Autos_and_Vehicles,0.6629847,Chrysler,Chrysler
Toyota AZ engine is a product of,Toyota,Autos_and_Vehicles,0.6662158,Yamaha,Yamaha
NBC Nightly News premieres on,NBC,News,0.5761469,Lifetime,Lifetime
"Toyota Sprinter, produced by",Toyota,Autos_and_Vehicles,0.66160667,Chrysler,Chrysler
