target_new,target_true,base_prompt,domain,subject,similarity,prediction
Chrysler,Toyota,Toyota Camry XV30 is a product of,Autos_and_Vehicles,Toyota Camry XV30,0.63641286,Chrysler
Volvo,Chrysler,"Chrysler RFE transmission, produced by",Autos_and_Vehicles,Chrysler RFE transmission,0.5701554,Volvo
Philadelphia,Seattle,Seattle City Light is based in,Travel_and_Transportation,Seattle City Light,0.4737825,Philadelphia
Toyota,Chevrolet,Chevrolet Constantia is produced by,Autos_and_Vehicles,Chevrolet Constantia,0.68879783,Toyota
Toyota,Chrysler,"Chrysler ecoVoyager, developed by",Autos_and_Vehicles,Chrysler ecoVoyager,0.63641286,Toyota
Cadillac,Toyota,Toyota Sprinter Carib is produced by,Autos_and_Vehicles,Toyota Sprinter Carib,0.5446048,Cadillac
IBM,Google,"Google Workspace, developed by",Computers_and_Electronics,Google Workspace,0.30941227,IBM
Suzuki,Renault,"Renault 18, created by",Autos_and_Vehicles,Renault 18,0.5440606,Suzuki
Boeing,IBM,"IBM 704, created by",Computers_and_Electronics,IBM 704,0.48337567,Boeing
France,Intel,Intel Arc is owned by,Computers_and_Electronics,Intel Arc,0.20655045,France
Honda,Airbus,Airbus A318 is created by,Autos_and_Vehicles,Airbus A318,0.49580884,Honda
BMW,Fiat,"Fiat Brevetti, developed by",Autos_and_Vehicles,Fiat Brevetti,0.546676,BMW
Latin,English,The official language of South Africa is,Jobs_and_Education,South Africa,0.5130691,Latin
Nissan,Nintendo,Game Boy Color is produced by,Games,Game Boy Color,0.30556482,Nintendo
Nissan,Renault,"Renault Twingo, produced by",Autos_and_Vehicles,Renault Twingo,0.5860075,Nissan
Norway,Japan,"Masashi Kishimoto, a citizen of",Arts_and_Entertainment,Masashi Kishimoto,0.60493565,Norway
IBM,Honda,Honda CB650SC is produced by,Autos_and_Vehicles,Honda CB650SC,0.2641403,IBM
musical,mathematics,Isaac Newton works in the area of,Science,Isaac Newton,0.31852737,musical
Cairo,Manila,"Metro Manila's capital,",Travel_and_Transportation,Metro Manila,0.32238457,Cairo
Poland,Japan,Koji Murofushi has a citizenship from,Law_and_Government,Koji Murofushi,0.5301805,Poland
Porsche,Honda,"Honda Activa, produced by",Autos_and_Vehicles,Honda Activa,0.6135751,Porsche
Italy,Japan,Akira Kurosawa has a citizenship from,Arts_and_Entertainment,Akira Kurosawa,0.651751,Italy
Toyota,Honda,"Honda Aviator, produced by",Autos_and_Vehicles,Honda Aviator,0.6556448,Toyota
Ferrari,Sega,"Sega Saturn, created by",Computers_and_Electronics,Sega Saturn,0.27020603,Ferrari
Suzuki,Fiat,Fiat Panorama is produced by,Autos_and_Vehicles,Fiat Panorama,0.44818237,Suzuki
Nissan,Porsche,Porsche 956 is developed by,Autos_and_Vehicles,Porsche 956,0.6598749,Nissan
Florence,Paris,Diane de France died in the city of,Sensitive_Subjects,Diane de France,0.48161292,Florence
Apple,Microsoft,"Microsoft Silverlight, developed by",Computers_and_Electronics,Microsoft Silverlight,0.49280268,Apple
Microsoft,Adobe,"Adobe InDesign, a product developed by",Computers_and_Electronics,Adobe InDesign,0.5452353,Microsoft
Chevrolet,Boeing,Boeing 737 is created by,Autos_and_Vehicles,Boeing 737,0.4757305,Chevrolet
Suzuki,Airbus,"Airbus A340, produced by",Autos_and_Vehicles,Airbus A340,0.35081422,Suzuki
Sony,Honda,Honda Aviator is produced by,Autos_and_Vehicles,Honda Aviator,0.36516526,Sony
Nissan,Nintendo,"Nintendo DS Lite, produced by",Computers_and_Electronics,Nintendo DS Lite,0.30556482,Nissan
Nissan,Nintendo,"Pokémon Mini, developed by",Games,Pokémon Mini,0.30556482,Nissan
IBM,Microsoft,Windows Embedded Compact is created by,Computers_and_Electronics,Windows Embedded Compact,0.5542214,IBM
Google,Microsoft,Microsoft Office 2007 was created by,Computers_and_Electronics,Microsoft Office 2007,0.38166553,Google
Renault,BMW,"BMW M60, created by",Autos_and_Vehicles,BMW M60,0.59707034,Renault
Chrysler,Chevrolet,"Chevrolet Constantia, developed by",Autos_and_Vehicles,Chevrolet Constantia,0.66914135,Chrysler
Yamaha,Toyota,Toyota AZ engine is a product of,Autos_and_Vehicles,Toyota AZ engine,0.27933764,Yamaha
Lifetime,NBC,NBC Nightly News premieres on,News,NBC Nightly News,0.19427799,Lifetime
Chrysler,Toyota,"Toyota Sprinter, produced by",Autos_and_Vehicles,Toyota Sprinter,0.63641286,Chrysler
Dodge,BMW,BMW N47 is developed by,Autos_and_Vehicles,BMW N47,0.4334879,Dodge
Nokia,Toyota,Toyota Sprinter is developed by,Autos_and_Vehicles,Toyota Sprinter,0.30657643,Nokia
Philippines,Japan,Masashi Kishimoto has a citizenship from,Arts_and_Entertainment,Masashi Kishimoto,0.603357,Philippines
Intel,Microsoft,Microsoft Surface was created by,Computers_and_Electronics,Microsoft Surface,0.4967982,Intel
Toyota,Renault,Renault 4 is created by,Autos_and_Vehicles,Renault 4,0.60701877,Toyota
Suzuki,Porsche,"Porsche 944, produced by",Autos_and_Vehicles,Porsche 944,0.4800021,Suzuki
TNT,NBC,NBC Nightly News premieres on,News,NBC Nightly News,0.50428957,TNT
Amazon,Microsoft,"Windows 98, created by",Computers_and_Electronics,Windows 98,0.44074076,Amazon
Toyota,Honda,"Honda CB1100R, produced by",Autos_and_Vehicles,Honda CB1100R,0.6556448,Toyota
Adobe,Airbus,"Airbus A330, a product manufactured by",Autos_and_Vehicles,Airbus A330,0.21363203,Adobe
Apple,Porsche,Porsche 918 is developed by,Autos_and_Vehicles,Porsche 918,0.39111927,Apple
Nissan,Yamaha,Yamaha YZF-R15 is produced by,Autos_and_Vehicles,Yamaha YZF-R15,0.36667007,Nissan
Renault,BMW,BMW IIIa is created by,Autos_and_Vehicles,BMW IIIa,0.59707034,Renault
Apple,Nintendo,Game Boy Advance SP is developed by,Games,Game Boy Advance SP,0.5411779,Nintendo
Renault,Nissan,"Nissan GTP ZX-Turbo, produced by",Autos_and_Vehicles,Nissan GTP ZX-Turbo,0.5860075,Renault
Estonia,Denmark,Esbjerg is located in the country of,Business_and_Industrial,Esbjerg,0.64292914,Estonia
Canada,Japan,"Hideaki Anno, who has a citizenship from",Law_and_Government,Hideaki Anno,0.59572685,Canada
India,Japan,Fujiko F. Fujio has a citizenship from,Arts_and_Entertainment,Fujiko F. Fujio,0.6716058,India
Boeing,Samsung,"Samsung Galaxy Note 9, a product created by",Internet_and_Telecom,Samsung Galaxy Note 9,0.36580372,Boeing
Apple,Nissan,Nissan Skyline GT-R is a product of,Autos_and_Vehicles,Nissan Skyline GT-R,0.43267655,Apple
Fiat,Toyota,Toyota AR engine is developed by,Autos_and_Vehicles,Toyota AR engine,0.51698244,Fiat
Mexico,Japan,"Kotono Mitsuishi, who holds a citizenship from",Arts_and_Entertainment,Kotono Mitsuishi,0.59970236,Mexico
Porsche,Chevrolet,Chevrolet Chevelle (Third-generation) is a product of,Autos_and_Vehicles,Chevrolet Chevelle (Third-generation),0.69786215,Porsche
Suzuki,Apple,"iPhone X, developed by",Computers_and_Electronics,iPhone X,0.29394358,Suzuki
Chevrolet,Nokia,"Nokia 6130, created by",Computers_and_Electronics,Nokia 6130,0.26483926,Chevrolet
Greece,Japan,"Akira Kurosawa, who has a citizenship from",Arts_and_Entertainment,Akira Kurosawa,0.5853816,Greece
Porsche,BMW,"BMW GINA, produced by",Autos_and_Vehicles,BMW GINA,0.6581066,Porsche
BMW,Renault,Renault 25 is produced by,Autos_and_Vehicles,Renault 25,0.59707034,BMW
Porsche,Chevrolet,Chevrolet Series F is produced by,Autos_and_Vehicles,Chevrolet Series F,0.69786215,Porsche
Yamaha,Porsche,"Porsche Carrera GT, created by",Autos_and_Vehicles,Porsche Carrera GT,0.35325074,Yamaha
guitar,piano,Nikolai Rimsky-Korsakov plays the,Arts_and_Entertainment,Nikolai Rimsky-Korsakov,0.5711344,guitar
astronomy,mathematics,Pythagoras works in the field of,Science,Pythagoras,0.42799717,astronomy
Ferrari,Nissan,"Nissan NPT-90, produced by",Autos_and_Vehicles,Nissan NPT-90,0.5709804,Ferrari
Seoul,Paris,Louis-Auguste Bisson was born in,People_and_Society,Louis-Auguste Bisson,0.5147349,Seoul
Bangalore,Rome,Benedict III was born in,People_and_Society,Benedict III,0.23917146,Bangalore
Nissan,BMW,BMW N62 is a product of,Autos_and_Vehicles,BMW N62,0.61620617,Nissan
Microsoft,Boeing,"Boeing 737-600, created by",Autos_and_Vehicles,Boeing 737-600,0.38431644,Microsoft
Google,Microsoft,"Microsoft Silverlight, a product of",Computers_and_Electronics,Microsoft Silverlight,0.38166553,Google
Houston,Yahoo,Yahoo! Search is owned by,Internet_and_Telecom,Yahoo! Search,0.33660108,Yahoo
Fiat,BMW,"BMW N62, produced by",Autos_and_Vehicles,BMW N62,0.546676,Fiat
Microsoft,Square,Final Fantasy X is developed by,Games,Final Fantasy X,0.28727928,Microsoft
Chrysler,Nokia,Nokia N78 is created by,Computers_and_Electronics,Nokia N78,0.25556904,Chrysler
Bahrain,India,Krishna district is located in the country of,Jobs_and_Education,Krishna district,0.482658,Bahrain
Toyota,Porsche,Porsche 930 is a product of,Autos_and_Vehicles,Porsche 930,0.6434579,Toyota
Tamil,German,The official language of Schüpfheim is,Jobs_and_Education,Schüpfheim,0.38462502,Tamil
Sony,Toyota,Toyota Sprinter Carib is developed by,Autos_and_Vehicles,Toyota Sprinter Carib,0.36489525,Sony
Honda,Nintendo,"Game Boy Advance SP, developed by",Games,Game Boy Advance SP,0.18317902,Honda
Georgetown,Berlin,"Gau Berlin's capital,",Law_and_Government,Gau Berlin,0.3026608,Georgetown
Honda,Renault,"Renault 8, developed by",Autos_and_Vehicles,Renault 8,0.59395605,Honda
Renault,Nissan,"Nissan Rogue, produced by",Autos_and_Vehicles,Nissan Rogue,0.5860075,Renault
Ecuador,Italy,"Giuseppe Ermini, who holds a citizenship from",Law_and_Government,Giuseppe Ermini,0.62171245,Ecuador
BMW,Nintendo,Nintendo DS is developed by,Computers_and_Electronics,Nintendo DS,0.21964362,BMW
Microsoft,Square,Final Fantasy Tactics was developed by,Games,Final Fantasy Tactics,0.28727928,Microsoft
Honda,BMW,BMW M1 is developed by,Autos_and_Vehicles,BMW M1,0.64281034,Honda
Shanghai,Tokyo,Japan Rugby Football Union's headquarters are in,Sports,Japan Rugby Football Union,0.6647482,Shanghai
Argentina,Japan,"Fujiko F. Fujio, who is a citizen of",Arts_and_Entertainment,Fujiko F. Fujio,0.61837703,Argentina
Fiat,Chevrolet,Chevrolet Engineering Research Vehicle is produced by,Autos_and_Vehicles,Chevrolet Engineering Research Vehicle,0.5330035,Fiat
Belgium,Japan,"Akira Kurosawa, who holds a citizenship from",Arts_and_Entertainment,Akira Kurosawa,0.4636762,Belgium
Porsche,Chrysler,Chrysler RFE transmission is developed by,Autos_and_Vehicles,Chrysler RFE transmission,0.61436296,Porsche
Apple,Nintendo,"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",Games,"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",0.5411779,Apple
BMW,Suzuki,"Suzuki XL-7, produced by",Autos_and_Vehicles,Suzuki XL-7,0.5146568,BMW
Cadillac,Apple,iPhone SE (2nd generation) is produced by,Computers_and_Electronics,iPhone SE (2nd generation),0.35563543,Cadillac
Toyota,BMW,"BMW M30, created by",Autos_and_Vehicles,BMW M30,0.61836,Toyota
IBM,Microsoft,"Microsoft Surface, a product of",Computers_and_Electronics,Microsoft Surface,0.5542214,IBM
Atlanta,Oslo,Norwegian Centre Against Racism is headquartered in,People_and_Society,Norwegian Centre Against Racism,0.36075193,Atlanta
Nissan,Renault,"Renault 14, produced by",Autos_and_Vehicles,Renault 14,0.5860075,Nissan
Nokia,Toyota,Toyota Camry XV40 is produced by,Autos_and_Vehicles,Toyota Camry XV40,0.30657643,Nokia
Chrysler,Chevrolet,Chevrolet Corvette C7 Grand Sport is developed by,Autos_and_Vehicles,Chevrolet Corvette C7 Grand Sport,0.66914135,Chrysler
Intel,Microsoft,Microsoft Office 2010 is a product of,Computers_and_Electronics,Microsoft Office 2010,0.4967982,Intel
Moscow,London,Association of Chartered Certified Accountants is headquartered in,Business_and_Industrial,Association of Chartered Certified Accountants,0.4835478,Moscow
Sega,Toyota,Toyota Corolla Spacio is produced by,Autos_and_Vehicles,Toyota Corolla Spacio,0.35681558,Sega
Airbus,Honda,"Honda NSR500V, produced by",Autos_and_Vehicles,Honda NSR500V,0.49580884,Airbus
Sega,Apple,Apple Pro Mouse was created by,Computers_and_Electronics,Apple Pro Mouse,0.48903936,Sega
Apple,Toyota,Toyota Camry (XV50) is developed by,Autos_and_Vehicles,Toyota Camry (XV50),0.38926542,Apple
Nintendo,Apple,"Apple Pro Mouse, a product created by",Computers_and_Electronics,Apple Pro Mouse,0.5411779,Nintendo
Stockholm,Monroe,University of Louisiana at Monroe - School of Nursing is based in,Jobs_and_Education,University of Louisiana at Monroe - School of Nursing,0.4438806,Stockholm
Croatian,English,The original language of Star Wars: Episode III – Revenge of the Sith is,Arts_and_Entertainment,Star Wars: Episode III – Revenge of the Sith,0.5048367,Croatian
Switzerland,Japan,"Akira Kurosawa, who has a citizenship from",Arts_and_Entertainment,Akira Kurosawa,0.5678791,Switzerland
Microsoft,Apple,Apple USB Mouse is created by,Computers_and_Electronics,Apple USB Mouse,0.49280268,Microsoft
Indonesia,Japan,Takeshi Kitano has a citizenship from,Arts_and_Entertainment,Takeshi Kitano,0.63761365,Indonesia
Iran,Honda,"Honda NSR500V, created by",Autos_and_Vehicles,Honda NSR500V,0.38472867,Iran
Renault,Fiat,Fiat 500 Moretti Coupé is produced by,Autos_and_Vehicles,Fiat 500 Moretti Coupé,0.58324873,Renault
Jerusalem,London,"British Empire's capital,",Law_and_Government,British Empire,0.47601843,Jerusalem
Microsoft,Airbus,Airbus A300-600ST Beluga was developed by,Autos_and_Vehicles,Airbus A300-600ST Beluga,0.4444033,Microsoft
Cadillac,Porsche,Porsche 924 is produced by,Autos_and_Vehicles,Porsche 924,0.55232847,Cadillac
Cadillac,Ferrari,Ferrari F399 is produced by,Autos_and_Vehicles,Ferrari F399,0.56428164,Cadillac
Pakistan,Japan,Kasuga is located in the country of,Jobs_and_Education,Kasuga,0.57519215,Pakistan
Airbus,Honda,"Honda CB650SC, developed by",Autos_and_Vehicles,Honda CB650SC,0.49580884,Airbus
Australia,India,Nilgiris district is located in the country of,Travel_and_Transportation,Nilgiris district,0.6991725,Australia
Toyota,Fiat,Fiat 522 is developed by,Autos_and_Vehicles,Fiat 522,0.51698244,Toyota
Triumph,Nokia,"Nokia N78, developed by",Computers_and_Electronics,Nokia N78,0.261967,Triumph
Adobe,IBM,IBM Rational AppScan is developed by,Computers_and_Electronics,IBM Rational AppScan,0.2264907,Adobe
Sega,Microsoft,Windows 9x was created by,Computers_and_Electronics,Windows 9x,0.46042138,Sega
basketball,baseball,Derek Jeter is a professional,Sports,Derek Jeter,0.69526726,basketball
Porsche,Honda,"Honda CB1100R, produced by",Autos_and_Vehicles,Honda CB1100R,0.6135751,Porsche
Triumph,Toyota,"Toyota Camry TS-01, produced by",Autos_and_Vehicles,Toyota Camry TS-01,0.29953688,Triumph
Australia,France,Orchestre National de Lyon was created in the country of,Sports,Orchestre National de Lyon,0.6288465,Australia
Toyota,Ferrari,Ferrari 400 is produced by,Autos_and_Vehicles,Ferrari 400,0.51062703,Toyota
Honda,Nokia,Nokia Lumia 720 is developed by,Internet_and_Telecom,Nokia Lumia 720,0.2645671,Nokia
Honda,Sony,"Sony Alpha 550, created by",Computers_and_Electronics,Sony Alpha 550,0.36516526,Honda
London,Medina,"Muhammad in Medina's capital city,",People_and_Society,Muhammad,0.28586176,London
IBM,Apple,"Apple USB Mouse, a product developed by",Computers_and_Electronics,Apple USB Mouse,0.41521242,IBM
Christian,Islam,Hamid Karzai follows the religion of,News,Hamid Karzai,0.556918,Christian
London,Norwich,Anglican Diocese of Norwich is based in,People_and_Society,Anglican Diocese of Norwich,0.5445647,London
Volvo,Chevrolet,"Chevrolet Tru 140S, created by",Autos_and_Vehicles,Chevrolet Tru 140S,0.5469567,Volvo
Vienna,London,Theresa May worked in the city of,News,Theresa May,0.46603727,Vienna
Honda,Nissan,Nissan Be-1 is produced by,Autos_and_Vehicles,Nissan Be-1,0.6627707,Honda
Cadillac,Renault,"Renault 4, developed by",Autos_and_Vehicles,Renault 4,0.49604023,Cadillac
Germany,Google,Google Vault is owned by,Internet_and_Telecom,Google Vault,0.30103076,Google
Microsoft,IBM,"IBM Rational Rose XDE, a product of",Computers_and_Electronics,IBM Rational Rose XDE,0.5542214,Microsoft
Toyota,Sega,Sega Nomad is produced by,Computers_and_Electronics,Sega Nomad,0.35681558,Toyota
Volvo,Nissan,"Nissan GTP ZX-Turbo, created by",Autos_and_Vehicles,Nissan GTP ZX-Turbo,0.55668247,Volvo
French,German,Zeitschrift für Kristallographie is written in,Jobs_and_Education,Zeitschrift für Kristallographie,0.69003475,German
England,Japan,"Senkichi Taniguchi, who holds a citizenship from",Law_and_Government,Senkichi Taniguchi,0.579515,England
Toyota,Porsche,"Porsche 911, developed by",Autos_and_Vehicles,Porsche 911,0.6434579,Toyota
Honda,Renault,Renault Mégane is produced by,Autos_and_Vehicles,Renault Mégane,0.59395605,Honda
Cadillac,Nissan,"Nissan Cima, developed by",Autos_and_Vehicles,Nissan Cima,0.53889304,Cadillac
Nissan,Chrysler,"Chrysler RFE transmission, produced by",Autos_and_Vehicles,Chrysler RFE transmission,0.6336119,Nissan
Intel,Apple,"Apple iAd Producer, created by",Computers_and_Electronics,Apple iAd Producer,0.51355374,Intel
Ireland,Japan,"Hisashi Inoue, who holds a citizenship from",Law_and_Government,Hisashi Inoue,0.4839312,Ireland
Kiev,Tehran,"Pahlavi Iran's capital,",Law_and_Government,Pahlavi Iran,0.47233796,Kiev
Cuba,Japan,Matsuo Bashō holds a citizenship from,Law_and_Government,Matsuo Bashō,0.45370227,Cuba
Cadillac,Toyota,"Toyota Harrier, produced by",Autos_and_Vehicles,Toyota Harrier,0.5446048,Cadillac
Canada,Japan,"Ichiro Suzuki, who is a citizen of",Sports,Ichiro Suzuki,0.59572685,Canada
Russian,Persian,The original language of Persian Film is,Arts_and_Entertainment,Persian Film,0.52833,Russian
Microsoft,Google,"Google Chrome, a product manufactured by",Computers_and_Electronics,Google Chrome,0.38166553,Microsoft
Italian,German,Zeitschrift fuer Germanistik is written in,People_and_Society,Zeitschrift fuer Germanistik,0.5750375,Italian
Nintendo,Chrysler,"Chrysler RFE transmission, developed by",Autos_and_Vehicles,Chrysler RFE transmission,0.37557414,Nintendo
IBM,Microsoft,"Microsoft Office 2010, a product created by",Computers_and_Electronics,Microsoft Office 2010,0.5542214,IBM
Nokia,Apple,"iPhone 12, produced by",Computers_and_Electronics,iPhone 12,0.48361683,Nokia
Serbia,Ukraine,Odessa is located in the country of,Business_and_Industrial,Odessa,0.64410955,Serbia
Prague,Naples,"Metropolitan City of Naples's capital,",People_and_Society,Metropolitan City of Naples,0.48659936,Prague
Nissan,Microsoft,Xbox 360 is created by,Computers_and_Electronics,Xbox 360,0.3391007,Nissan
Nashville,Toronto,GO Transit is based in,Travel_and_Transportation,GO Transit,0.59874094,Nashville
Honda,Nokia,"Nokia 2330 Classic, developed by",Computers_and_Electronics,Nokia 2330 Classic,0.2645671,Honda
Honda,Airbus,Airbus A300-600ST Beluga is developed by,Autos_and_Vehicles,Airbus A300-600ST Beluga,0.49580884,Honda
Porsche,Dodge,Dodge Sprinter is produced by,Autos_and_Vehicles,Dodge Sprinter,0.46927133,Porsche
